List of types of finance ,,,,,Types de financement,,,
Code,Heading,Subcode,Name,,Code,Libellé,Sous-code,Nom
0,NON FLOW ITEMS,,Non resource flow items requested on DAC table 1,,0,AUTRE QU’APPORTS ,,Rubriques requises sur le tableau CAD 1 portant sur des informations autres que des apports
,,1,GNI: Gross National Income,,,,1,RNB : Revenu national brut
,,2,ODA % GNI,,,,2,APD en % du RNB
,,3,Total Flows % GNI,,,,3,Apports totaux en % du RNB
,,4,Population,,,,4,Population
100,GRANTS,,,,100,DONS,,
,Standard grant,110,Grants are transfers in cash or in kind for which no legal debt is incurred by the recipient.,,,Dons ordinaires,110,Transferts en espèces ou en nature qui n'entraînent pas d'obligation juridique de remboursement pour le bénéficiaire.
,Interest subsidy,210,"A payment to soften the terms of private export credits, or loans or credits by the banking sector.",,,Bonification d'intérêt,210,Subventions visant à assouplir les conditions des crédits à l’exportation ou des prêts/crédits du secteur bancaire.
,Capital subscription on deposit basis,310,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally encashable at sight by the recipient institutions.",,,Souscriptions au capital sur la base des dépôt,310,Versements aux agences multilatérales sous forme de billets à ordre et effets similaires encaissables à vue sans condition par l'institution bénéficiaire.
,Capital subscription on encashment basis,311,"Payments to multilateral agencies in the form of notes and similar instruments, unconditionally encashable at sight by the recipient institutions.",,,Souscriptions au capital sur la base des encaissements ,311,Versements aux agences multilatérales sous forme de billets à ordre et effets similaires encaissables à vue sans condition par l'institution bénéficiaire.
420,DEBT INSTRUMENTS,,,,420,INSTRUMENTS DE DETTE,,
,Standard loan,421,"Transfers in cash or in kind for which the recipient incurs legal debt (and the resulting claim is not intended to be traded).  Since payment obligations on standard loan are senior obligations, i.e. creditors are entitled to receive payments against their claims before anyone else, they are also referred to as senior loans.",,,Prêt ordinaire,421,"Transferts en espèce ou en nature qui entraînent une obligation juridique de remboursement pour le bénéficiaire (dont la créance n'est pas échangeable.) Lorsque les obligations de remboursement sur les prêts ordinaires sont senior, càd que le créditeur est éligible à percevoir le remboursement de sa créance avant quiconque, on parle de prêt senior."
,Reimbursable grant ,422,"A contribution provided to a recipient institution for investment purposes, with the expectation of long-term reflows at conditions specified in the financing agreement. The provider assumes the risk of total or partial failure of the investment; it can also decide if and when to reclaim its investment.  ",,,Don remboursable,422,"Contribution fournie à une institution bénéficiaire à des fins d'investissement, dans une perspective de remboursement à long-terme à des conditions spécifiées dans l'accord de financement. Le fournisseur assume le risque partiel ou total de faillite de l'investissement ; il peut aussi décider si et quand il récupère son investissement."
,Loan-type reimbursable grant,4221,"A contribution provided to a recipient institution for investment purposes, for which the conditions - including a concrete repayment schedule – are specified in the financing agreement.",,,Don remboursable de type prêt,4221,"Contribution fournie à une institution bénéficiaire à des fins d'investissement, dont les conditions – y compris un calendrier de remboursement concret – sont précisées dans l'accord de financement."
,Reflow-based reimbursable grant,4222,"A contribution provided to a recipient institution for investment purposes, for which the details on reflows are unknown at the time of investment as they depend on the performance of the underlying investments.",,,Don remboursable par retour de capitaux,4222,"Contribution fournie à une institution bénéficiaire à des fins d'investissement, pour laquelle les détails des remboursements sont inconnus au moment de l'investissement car ils dépendent de la performance des investissements sous-jacents."
,Bonds,423,"Fixed-interest debt instruments, issued by governments, public utilities, banks or companies, tradable in financial markets.",,,Obligations,423,"Instruments de dette à intérêts fixes émis par des gouvernements, entités publiques, banques ou sociétés, échangeables sur les marchés financiers."
,Asset-backed securities ,424,Securities whose value and income payments are derived from and backed by a specific pool of underlying assets.,,,Titres adossés à des actifs,424,Actifs dont la valeur et les revenus sont dérivés de et adossés à un panier d'actifs sous-jacents.
,Other debt securities,425,,,,Autres actifs de dette,425,
430,MEZZANINE FINANCE INSTRUMENTS,,,,430,INSTRUMENTS DE DETTE,,
,Subordinated loan ,431,"A loan that, in the event of default, will only be repaid after all senior obligations have been satisfied.  In compensation for the increased risk, mezzanine debt holders require a higher return for their investment than secured or more senior lenders.",,,Prêt subordonné,431,"Prêt qui, en cas de défaut, ne sera remboursé qu'après que les obligations senior soient satisfaites.  En compensation du risque accru, les détenteurs de dette mezzanine exigent un retour sur investissement plus élevé que les prêteurs garantis ou senior."
