ms_authors,ms_title,ms_journal,ms_year,doi,title,journal,year,type,authors,error,title_match,year_match
Burnside & Dollar,"Aid, growth, policies and fragility. Handbook on the Economics of Foreign Aid",,2000,10.4337/9781783474592.00032,"Aid, growth, policies and fragility",Handbook on the Economics of Foreign Aid,2015.0,book-chapter,"McGillivray, M; Feeny, S",,True,False
Burnside & Dollar,"Aid, Policies, and Growth: Revisiting the Evidence. World Bank Economic Review",,2004,10.1596/1813-9450-3251,"Aid, Policies, and Growth: Revisiting the Evidence",,2004.0,book,"Burnside, C; Dollar, D",,True,False
Easterly,Can Foreign Aid Buy Growth?. Journal of Economic Perspectives,,2003,10.1257/089533003769204344,Can Foreign Aid Buy Growth?,Journal of Economic Perspectives,2003.0,journal-article,"Easterly, W",,True,False
Clemens et al.,Counting Chickens when they Hatch: Timing and the Effects of Aid on Growth. The Economic Journal,,2012,10.1111/j.1468-0297.2011.02482.x,Counting Chickens when they Hatch: Timing and the Effects of Aid on Growth,The Economic Journal,2012.0,journal-article,"Clemens, M; Radelet, S; Bhavnani, R; Bazzi, S",,True,False
Rajan & Subramanian,Aid and Growth: What Does the Cross-Country Evidence Really Show?. Review of Economics and Statistics,,2008,10.5089/9781451861464.001.a001,Aid and Growth: What Does the Cross-Country Evidence Really Show?,,,component,"Rajan, R; Subramanian, A",,True,False
"Arndt, Jones & Tarp",Assessing Foreign Aid’s Long-Run Contribution to Growth and Development. World Development,,2015,10.1016/j.worlddev.2013.12.016,Assessing Foreign Aid’s Long-Run Contribution to Growth and Development,World Development,2015.0,journal-article,"Arndt, C; Jones, S; Tarp, F",,True,False
Minoiu & Reddy,Development Aid and Economic Growth: A Positive Long-Run Relation. Quarterly Review of Economics and Finance,,2010,10.5089/9781451872651.001.a001,Development Aid and Economic Growth: A Positive Long-Run Relation,,,component,"Reddy, S; Minoiu, C",,True,False
Doucouliagos & Paldam,The ineffectiveness of development aid on growth: An update. European Journal of Political Economy,,2011,10.1016/j.ejpoleco.2010.11.004,The ineffectiveness of development aid on growth: An update,European Journal of Political Economy,2011.0,journal-article,"Doucouliagos, H; Paldam, M",,True,False
Mekasha & Tarp,Aid and Growth: What Meta-Analysis Reveals. The Journal of Development Studies,,2013,10.1080/00220388.2012.709621,Aid and Growth: What Meta-Analysis Reveals,The Journal of Development Studies,2013.0,journal-article,"Mekasha, T; Tarp, F",,True,False
Alesina & Dollar,Who Gives Foreign Aid to Whom and Why?. Journal of Economic Growth,,2000,10.3386/w6612,Who Gives Foreign Aid to Whom and Why?,,1998.0,report,"Alesina, A; Dollar, D",,True,False
Kilby & Dreher,The Impact of Aid on Growth Revisited: Do Donor Motives Matter?. SSRN Electronic Journal,,2010,10.2139/ssrn.1402503,The Impact of Aid on Growth Revisited: Do Donor Motives Matter?,SSRN Electronic Journal,2009.0,journal-article,"Kilby, C; Dreher, A",,True,False
Feeny & McGillivray,What Determines Bilateral Aid Allocations? Evidence From Time Series Data. Review of Development Economics,,2008,10.1111/j.1467-9361.2008.00443.x,What Determines Bilateral Aid Allocations? Evidence From Time Series Data,Review of Development Economics,2008.0,journal-article,"Feeny, S; McGillivray, M",,True,False
Berthelemy & Tichit,Bilateral donors' aid allocation decisions—a three-dimensional panel analysis. International Review of Economics &amp; Finance,,2004,10.1016/j.iref.2003.11.004,Bilateral donors' aid allocation decisions—a three-dimensional panel analysis,International Review of Economics &amp; Finance,2004.0,journal-article,"Berthélemy, J; Tichit, A",,True,False
Boone,Politics and the Effectiveness of Foreign Aid. European Economic Review,,1996,10.3386/w5308,Politics and the Effectiveness of Foreign Aid,,1995.0,report,"Boone, P",,True,False
"Feyzioglu, Swaroop & Zhu",Is Donors' Concern About the Fungibility of Foreign Aid Justified?: A Panel Data Analysis. World Bank Economic Review,,1998,10.2139/ssrn.5035639,Is Donors' Concern About the Fungibility of Foreign Aid Justified?: A Panel Data Analysis,,2024.0,posted-content,"Nath, S; Sobhee, S",,True,False
Devarajan & Swaroop,The Implications of Foreign Aid Fungibility for Development Assistance. Policy Research Working Papers,,1998,10.1596/1813-9450-2022,The Implications of Foreign Aid Fungibility for Development Assistance,Policy Research Working Papers,1999.0,book,"Swaroop, V; Devarajan, S",,True,False
