year,share_aidtype_technical_cooperation,share_aidtype_budget_support,share_aidtype_project,share_aidtype_pooled_earmarked,share_channel_public_recipient,share_channel_public_donor,share_channel_ngo,share_channel_multilateral,share_channel_private_recipient,share_finance_grant,share_finance_loan,share_untied,share_tc_usd_irtc
1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4002968438658057,0.5997031561341942,0.6272460608494247,0.007572130746007574
1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4614154031456362,0.5384024903395016,0.6134413437625316,0.011060371622312897
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46474420849474024,0.5350593999125467,0.5796733132063825,0.007001763239071358
1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5595710724626966,0.4402814653277813,0.6229823011712833,0.004694592880206135
1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5270499958059102,0.4732112466945336,0.6919455271900679,0.002976422655344221
2000,0.0,0.08371381785124832,0.20230843693656264,0.0,0.0,0.0,0.0,0.007926469984620156,0.0,0.4257725786238651,0.5598283041040825,0.6851905921609613,0.0009344200459342748
2001,0.0,0.09549680933782774,0.1521776108201953,0.0,0.0,0.0,0.0,0.014730180083798472,0.0,0.5532662032678072,0.42467938829685414,0.7356725871417966,0.011457027869834463
2002,0.0,0.10016294863200942,0.10651033232521742,0.0,0.0,0.0,9.002190034146015e-07,0.019034671072996365,0.0,0.6287326061270848,0.351540859869793,0.7628148944163392,0.001990874850604569
2003,0.0,0.05996354757697112,0.09164410776291242,0.0,0.0,0.0,0.00028345711743857024,0.011902979146759233,0.0,0.7333368124751635,0.2499653890477984,0.726856127192726,0.0023733783116662963
2004,0.0,0.07104045318570995,0.10973514364342893,0.0,0.0,0.0,0.01775434667667466,0.022603165326322037,0.0,0.724930575409118,0.26001930213156016,0.7589191791139739,0.0038377248154271683
2005,0.0,0.02833101726459295,0.08509337995017748,0.0,0.0,0.0,0.030761242014124345,0.03568844387015416,0.0,0.7666152462066302,0.16396866605538338,0.6475783233309583,0.01911840385757585
2006,0.0,0.03965450656912927,0.1903825000986235,0.0,0.0,0.0,0.03156105866919289,0.27776630744739295,0.0,0.4679358471087361,0.1093728372312085,0.7018247948090308,0.006391028913080389
2007,0.0,0.07029476893468802,0.2725405816709339,0.0,0.11336310945101118,0.0,0.0815245033452709,0.07730791978813843,0.0,0.7265139553405989,0.17799992854959307,0.7083471411434533,0.004341474279421117
2008,0.0,0.07150996231982037,0.2851055589104583,0.0,0.08852773953504517,2.7995686905623155e-06,0.10226380365167281,0.10351037971321932,0.0,0.7046572971859789,0.18056553898740882,0.7219784479857206,0.005626617370407014
2009,0.011971135590184895,0.11102701321186817,0.5299725809603884,0.005362877226893116,0.11330620803182188,0.005455969874339651,0.12367794062758847,0.11194728476485992,0.0,0.7222883041578149,0.22876802184469616,0.795151834990037,0.008126216050500002
2010,0.05049331760080777,0.09927984699717331,0.6680636870950853,0.07758353345446745,0.2890320126416615,0.11504818000532381,0.11552613216333514,0.10566078009766874,0.0,0.7008633506158781,0.22494736720806996,0.745377327399016,0.001987923190354334
2011,0.04192814816840701,0.08853040580978286,0.6921449499106288,0.08468310537485359,0.2898687334049492,0.1227466315370737,0.11759121669918896,0.11135633477656418,0.0,0.6687646132883104,0.2672038413324502,0.766160119550612,0.0030226924840312985
2012,0.03731533763110497,0.07661623693469014,0.7209482555667045,0.08683884336660973,0.214820613255256,0.16352842770619314,0.1268917892461913,0.10917579331880245,0.0,0.6744601534506633,0.28006161206695596,0.7783547464733138,0.0026414596300109424
2013,0.033626253667233715,0.12617118042292358,0.6768069958934516,0.08742578171010651,0.3822221035277056,0.09819262493280503,0.11311862797155514,0.16040536654992918,0.0,0.6489111731268974,0.3015008296569275,0.7912098171366162,0.0018788779144623172
2014,0.03303001438067481,0.07656379296506816,0.7480659562171845,0.09060930277393103,0.35110263128422137,0.1182873752821168,0.12173210457601259,0.15956709932153307,0.0,0.66965599108892,0.3097283337056182,0.7891406494246188,0.0008502070391231965
2015,0.03409105997920497,0.10601923284924482,0.7123415666254627,0.09467160155156545,0.3933968061763893,0.1054180012531109,0.1248412172848603,0.1317903611567747,5.290741669132287e-06,0.6451262808085337,0.3372515339274032,0.7562494923009179,0.0011627918255751753
2016,0.02716203419601195,0.07856982644064837,0.7358606656242751,0.09821635761260056,0.4275816937777888,0.13823639011503958,0.11962538802585174,0.13720705517853393,0.012672100142389472,0.6666486487384508,0.30619257457907545,0.808571787436416,0.001722791549065358
2017,0.023802756877906395,0.09304155528237541,0.7357695192466875,0.08841581492044286,0.4255398647243272,0.1576034837895814,0.11724496982537634,0.13741663059738704,0.01868058469690148,0.6745188116719802,0.3144880207968132,0.8095327707448515,0.0003136669206728208
2018,0.02390763288681726,0.09895348794215587,0.7218565486037337,0.10152806731720644,0.41884409769797215,0.15722786193393312,0.11377106407417127,0.14500231117287285,0.017791699901752406,0.6835797442121752,0.30766668532126856,0.7779070825565664,0.00022280350765640613
2019,0.025764267073594558,0.10221233302783266,0.7071892988022359,0.10354842687197799,0.42399359671617876,0.14396864587341732,0.1114242725306064,0.15751366629624888,0.01788370086936873,0.6800203294592088,0.31018365097422773,0.7799028703201846,0.0012494948432528897
2020,0.01886337716675584,0.20909851787477923,0.6278922442239891,0.0850235680010179,0.44926254380901015,0.13604454690530438,0.09842538396829748,0.13768985246879922,0.017480977123692197,0.6105448880304127,0.37476770205441856,0.8247445567612164,0.00037508149406165263
2021,0.016286404813798835,0.1539816831098322,0.6791390489087477,0.09266072828739903,0.4514750817061965,0.12376219436225004,0.10230896486608287,0.15180238409916405,0.022791349412739026,0.6642550548916303,0.3250098361518276,0.7663952947603829,0.00015197157694202704
2022,0.013778827440735334,0.1783536759852897,0.705052448664615,0.05970320827342822,0.485202293624012,0.09068003784108318,0.09473208088299269,0.1384623603690953,0.014771389156993215,0.619530675080075,0.37530969190589514,0.7719815473773668,0.00035792786523779256
2023,0.013930093426168825,0.21608004160955036,0.6787492220229624,0.04763805420641237,0.5052086022718134,0.09303094146997727,0.10085469542991904,0.13508076927129212,0.008771447647236566,0.6069850661474466,0.389448246590738,0.7945475361453617,0.00025626211069131754
2024,0.013571010523324923,0.23909740085508618,0.6461847362332772,0.051920137820798004,0.5296447026579242,0.0845328571402455,0.09596179502499748,0.133672850503377,0.006848373031235495,0.6041158417831546,0.3923531814172247,0.7671721719115925,0.00020788242062040797
