donor_name,vol,tc_share,govt_share,untied,vol_bn
United States,997212.687124,0.015112533420993316,0.02188542411142249,0.589396300544249,997.212687124
Germany,573210.95436,0.02988235725732895,0.10097909648748185,0.7892680834723581,573.21095436
EU Institutions,454809.332311,0.020848998853690983,0.3511185386688639,0.6146616905602994,454.809332311
International Development Association,419794.269599,0.0,0.6918323488632296,0.0,419.794269599
United Kingdom,373177.580748,0.036282542643265595,0.03684966723466198,0.9970895258236316,373.177580748
Japan,348178.231955,0.005684016510416942,0.4193493569117518,0.9162875102335974,348.178231955
France,334215.29022,0.04150623106402052,0.1680524554817,0.8744622039946965,334.21529022000004
Netherlands,162435.066902,0.036095401330658174,0.012387839340220844,0.9110104738456766,162.435066902
Canada,120973.91855,0.03741401402261182,0.02465680838276855,0.8151960914061466,120.97391855000001
Sweden,117614.332595,0.017385365812864605,0.014951866054076128,0.9137702506596933,117.614332595
Italy,95418.827823,0.004774214600969905,0.04644773955116331,0.8341772977431149,95.418827823
Türkiye,92039.776482,0.017434754715140204,0.0007313225604493271,0.0,92.03977648200001
Spain,90796.684573,0.010412365258115754,0.05336926709150975,0.7027975673130146,90.79668457300001
Norway,90562.663386,0.02805211511030637,0.038864440757426996,0.9904392274736948,90.562663386
Australia,82967.10752,0.05271559616497041,0.04833378848398836,0.903198175099358,82.96710752
Switzerland,78930.11006199999,0.01594948194055643,0.024636087577637515,0.9417716868381711,78.930110062
Global Fund,75062.86016,0.0,0.457445281831904,0.0,75.06286016
IMF (Concessional Trust Funds),68046.15937,0.0,0.159100886769122,0.0,68.04615937
Belgium,62795.737585,0.010823452867004014,0.010624902416296699,0.9693515662527386,62.795737585000005
African Development Fund,60325.502446,9.9009486167919e-05,0.5900811256046211,0.0,60.325502446
